"","x","y","Animal","Month","Year"
"516",-61.18613,-62.5734,131127,"May",2016
"517",-61.19248,-62.57849,131127,"May",2016
"518",-61.21938,-62.57169,131127,"May",2016
"519",-61.22012,-62.57291,131127,"May",2016
"520",-61.22476,-62.57624,131127,"May",2016
"521",-61.22771,-62.57943,131127,"May",2016
"522",-61.25361,-62.57129,131127,"May",2016
"523",-61.23738,-62.56347,131127,"May",2016
"524",-61.23314,-62.56495,131127,"May",2016
"525",-61.22426,-62.56899,131127,"May",2016
"526",-61.23463,-62.56732,131127,"May",2016
"527",-61.26798,-62.56417,131127,"May",2016
"528",-61.26654,-62.58288,131127,"May",2016
"529",-61.26883,-62.58425,131127,"May",2016
"530",-61.29986,-62.59194,131127,"May",2016
"531",-61.3051,-62.59591,131127,"May",2016
"532",-61.31362,-62.58762,131127,"May",2016
"533",-61.27412,-62.58223,131127,"May",2016
"534",-61.25884,-62.56284,131127,"May",2016
"535",-61.24933,-62.58854,131127,"May",2016
"536",-61.26589,-62.54938,131127,"May",2016
"537",-61.28562,-62.54587,131127,"May",2016
"538",-61.2835,-62.53728,131127,"May",2016
"539",-61.30908,-62.53365,131127,"May",2016
"540",-61.27093,-62.53058,131127,"May",2016
"541",-61.29688,-62.5083,131127,"May",2016
"542",-61.30926,-62.50293,131127,"May",2016
"543",-61.31412,-62.50129,131127,"May",2016
"544",-61.31521,-62.50228,131127,"May",2016
"545",-61.3213,-62.50196,131127,"May",2016
"546",-61.37009,-62.48893,131127,"May",2016
"547",-61.35408,-62.50076,131127,"May",2016
"548",-61.35756,-62.50397,131127,"May",2016
"549",-61.3633,-62.50431,131127,"May",2016
"550",-61.36314,-62.50536,131127,"May",2016
"551",-61.37358,-62.51194,131127,"May",2016
"552",-61.36688,-62.51615,131127,"May",2016
"553",-61.36019,-62.51116,131127,"May",2016
"554",-61.37298,-62.55564,131127,"May",2016
"555",-61.37245,-62.55572,131127,"May",2016
"556",-61.38113,-62.56716,131127,"May",2016
"557",-61.38128,-62.5673,131127,"May",2016
"558",-61.38163,-62.58905,131127,"May",2016
"559",-61.34257,-62.5886,131127,"May",2016
"560",-61.35125,-62.61359,131127,"May",2016
"561",-61.35059,-62.62601,131127,"May",2016
"562",-61.34047,-62.63899,131127,"May",2016
"563",-61.3211,-62.61061,131127,"May",2016
"564",-61.26148,-62.57899,131127,"May",2016
"565",-61.29946,-62.58087,131127,"May",2016
"566",-61.28968,-62.5724,131127,"May",2016
"567",-61.28924,-62.57265,131127,"May",2016
"568",-61.24866,-62.58676,131127,"May",2016
"569",-61.26107,-62.57649,131127,"May",2016
"570",-61.2775,-62.57417,131127,"May",2016
"571",-61.27661,-62.57188,131127,"May",2016
"572",-61.27092,-62.56916,131127,"May",2016
"573",-61.29872,-62.56742,131127,"May",2016
"574",-61.27701,-62.56909,131127,"May",2016
"575",-61.27632,-62.56976,131127,"May",2016
"576",-61.27597,-62.56967,131127,"May",2016
"577",-61.28466,-62.56827,131127,"May",2016
"578",-61.26922,-62.55674,131127,"May",2016
"579",-61.28519,-62.56356,131127,"May",2016
"580",-61.28556,-62.55781,131127,"May",2016
"581",-61.32202,-62.55535,131127,"May",2016
"582",-61.25064,-62.55647,131127,"May",2016
"583",-61.2554,-62.55057,131127,"May",2016
"584",-61.24137,-62.55169,131127,"May",2016
"585",-61.24001,-62.55827,131127,"May",2016
"586",-61.25168,-62.54791,131127,"May",2016
"587",-61.25159,-62.54495,131127,"May",2016
"588",-61.25602,-62.5547,131127,"May",2016
"589",-61.26041,-62.58423,131127,"May",2016
"590",-61.26581,-62.58169,131127,"May",2016
"591",-61.25345,-62.54502,131127,"May",2016
"592",-61.26195,-62.58465,131127,"May",2016
